Project,Spotbug % Killed,PMD % Killed,Infer % Killed
objenesis.csv,1.4351320321469576,6.371986222732492,0.0
javaanpr.csv,4.34463525612799,6.061940408043446,0.0
javaparser-core.csv,9.80547836443033,9.606986899563319,0.0
nifi-api.csv,9.173976608187134,14.692982456140351,0.0
optaplanner-core.csv,1.2147195426938193,4.930332261521972,0.0
jbehave-core.csv,7.718696397941681,20.368782161234993,0.0
Docx4j.csv,10.787232569410786,11.888111888111888,0.0
lavagna.csv,1.7094017094017093,3.646723646723647,0.0
shopizer.csv,12.012987012987013,12.59018759018759,0.0
jbot.csv,12.656364974245768,13.392200147167035,0.0
greenmail.csv,13.217768147345613,12.67605633802817,0.0
swagger-core.csv,22.059466550065586,12.439877568867512,0.0
protostuff-core.csv,2.246250884984231,1.641243483297934,0.0
hibernate-ogm.csv,7.030636292223095,12.922230950510604,0.0
hibernate-search.csv,8.59023207481815,11.188084516799446,0.0
nanohttpd.csv,1.7465187632759027,1.9589332074581072,0.0
